Timestamp,AMWAY,APOLLO,MBB,PETDAG,PETGAS,PETCHEM,PANAMY
2025-04-25 07:14:14,5.3,6.2,9.91,19.1,16.74,3.47,13.3
2025-05-02 07:10:51,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-05-09 07:10:49,5.55,N/A,9.92,20.14,17.24,3.53,13.9
2025-05-16 07:11:03,5.6,N/A,10.12,19.98,17.68,3.96,13.98
2025-05-23 07:11:00,5.22,6.3,9.87,19.08,17.82,3.37,13.76
2025-05-30 07:10:46,5.12,N/A,9.83,20.24,18.0,3.42,12.92
2025-06-06 07:10:54,5.02,N/A,9.69,20.94,18.2,3.26,12.0
2025-06-13 07:11:02,5.0,6.2,9.7,20.76,17.9,3.33,11.86
2025-06-20 07:11:14,4.98,6.41,9.69,21.0,18.0,3.08,11.5
2025-06-27 07:11:57,5.2,6.56,9.81,21.5,17.76,3.45,11.68
2025-07-04 07:12:31,5.03,6.68,9.75,21.48,18.04,3.48,12.06
2025-07-11 07:13:27,5.01,6.21,9.72,21.62,17.68,3.29,11.64
2025-07-18 07:15:37,4.94,6.38,9.56,21.46,17.76,3.35,11.12
2025-08-09 03:12:46,4.97,6.28,9.61,22.84,18.68,3.81,10.22
2025-08-15 07:12:47,5.0,N/A,9.83,22.26,18.68,3.59,9.98
2025-08-22 07:10:33,4.78,6.28,9.86,22.5,18.88,4.79,9.9
2025-08-29 07:10:54,4.85,6.31,9.89,20.9,18.66,4.3,9.63
2025-09-05 07:10:59,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-09-12 07:10:20,4.9,6.37,9.81,21.58,18.32,4.35,8.38
2025-09-19 07:10:55,4.89,6.4,9.86,22.26,18.54,4.39,8.4
2025-09-26 07:11:01,4.93,6.21,9.84,22.58,18.5,4.49,8.68
2025-10-03 07:10:31,4.94,N/A,9.99,23.06,18.54,4.27,8.5
2025-10-10 07:10:53,4.95,6.32,9.95,22.8,18.96,4.22,8.39
2025-10-17 07:11:06,4.95,6.38,9.89,22.48,18.9,4.0,8.37
2025-10-24 07:10:49,4.96,6.28,9.85,22.54,18.62,4.1,8.4
2025-10-31 07:11:04,N/A,N/A,9.89,22.56,18.52,3.94,8.33
2025-11-07 07:11:41,4.98,N/A,9.91,22.5,18.56,3.56,8.1
2025-11-14 07:11:24,4.9,N/A,9.94,22.02,18.58,3.44,7.69
2025-11-21 07:12:17,4.9,6.3,9.91,21.06,18.26,3.25,7.49
2025-11-28 07:12:16,4.92,6.32,9.96,19.92,17.62,3.0,7.35
